epoch,train_loss,val_mae,val_rmse,val_r,val_acc1,val_acc2
1,57.515693846203035,96.208885,96.224365,-0.7291166186332703,0.0,0.0
2,56.80587641398112,95.084496,95.09855,-0.5802640914916992,0.0,0.0
3,56.29292152041481,94.18339,94.19647,-0.4951828122138977,0.0,0.0
4,55.77345621018183,93.26295,93.27589,-0.5075987577438354,0.0,0.0
5,55.19836916242327,92.26895,92.28192,-0.5445070862770081,0.0,0.0
6,54.58134405953543,91.23605,91.24904,-0.527797520160675,0.0,0.0
7,53.953931172688804,90.17236,90.18543,-0.5206047296524048,0.0,0.0
8,53.28988229660761,89.05453,89.0677,-0.5173606276512146,0.0,0.0
9,52.609270913260325,87.87969,87.893005,-0.5133973956108093,0.0,0.0
10,51.89897700718471,86.637856,86.65131,-0.5076025724411011,0.0,0.0
11,51.14803423200335,85.32533,85.33899,-0.504421591758728,0.0,0.0
12,50.306190490722656,83.93232,83.94615,-0.49035489559173584,0.0,0.0
13,49.51253237043108,82.462006,82.47607,-0.47246602177619934,0.0,0.0
14,48.55128696986607,80.909195,80.92353,-0.4824855625629425,0.0,0.0
15,47.585765112014045,79.27165,79.286285,-0.4916238486766815,0.0,0.0
16,46.60581679571243,77.54958,77.56454,-0.4934810698032379,0.0,0.0
17,45.54895982288179,75.74129,75.756584,-0.4909813702106476,0.0,0.0
18,44.45973459879557,73.83989,73.85556,-0.4773854911327362,0.0,0.0
19,43.34296181088402,71.846,71.86211,-0.48582005500793457,0.0,0.0
20,42.060006277901785,69.75994,69.77651,-0.48182687163352966,0.0,0.0
21,40.75821903773716,67.57838,67.59549,-0.4810791611671448,0.0,0.0
22,39.47335633777437,65.29971,65.31742,-0.4876849055290222,0.0,0.0
23,38.07307652064732,62.919582,62.93795,-0.4753771722316742,0.0,0.0
24,36.66490028018043,60.440617,60.459747,-0.4942316710948944,0.0,0.0
25,35.15525236583891,57.85666,57.87662,-0.48414233326911926,0.0,0.0
26,33.534904298328215,55.16764,55.188583,-0.4838201403617859,0.0,0.0
27,31.881730397542317,52.372433,52.394485,-0.4750656187534332,0.0,0.0
28,30.185686747233074,49.469418,49.492775,-0.4831834137439728,0.0,0.0
29,28.460853122529528,46.45697,46.481857,-0.4869690239429474,0.0,0.0
30,26.63291277204241,43.3316,43.35828,-0.49966150522232056,0.0,0.0
31,24.7071404230027,40.09444,40.123302,-0.4981119930744171,0.0,0.0
32,22.720930644444056,36.73861,36.770084,-0.4860691726207733,0.0,0.0
33,20.653762363252184,33.2709,33.30567,-0.49033403396606445,0.0,0.0
34,18.617997214907692,29.682133,29.721113,-0.48815593123435974,0.0,0.0
35,16.363354183378675,25.971695,26.016201,-0.4862532615661621,0.0,0.0
36,14.15970634278797,22.140846,22.1931,-0.4975617229938507,0.0,0.0
37,11.887735684712728,18.186518,18.250044,-0.4824250042438507,0.0,0.0
38,9.436282566615514,14.105426,14.187161,-0.4821314513683319,0.0,0.0
39,6.939118612380255,9.898236,10.0145645,-0.48808857798576355,0.0,0.0
40,4.505420207977295,5.5619755,5.7662888,-0.4949776828289032,0.0,0.0
41,1.8829322457313538,1.6149379,1.8730842,-0.4490249454975128,0.36024844720496896,0.5403726708074534
42,0.8599110018639338,1.3336523,1.467998,0.8021595478057861,0.2360248447204969,0.8695652173913043
43,0.7344219102745965,1.0762836,1.2323111,0.8639525771141052,0.5341614906832298,0.8695652173913043
44,0.6822591920693716,1.099811,1.3142898,0.8688055276870728,0.6770186335403726,0.8695652173913043
45,0.6799700189204443,1.369377,1.7779584,0.8690151572227478,0.45962732919254656,0.6894409937888198
46,0.7280917309579396,1.1635039,1.4327598,0.8517938852310181,0.6024844720496895,0.8198757763975155
47,0.6593183420953297,1.0569968,1.4071238,0.872780442237854,0.5962732919254659,0.8074534161490683
48,0.628991859299796,1.1033136,1.5529505,0.8763843774795532,0.5527950310559007,0.7391304347826086
49,0.6521784223261333,0.93067175,1.1174998,0.8798209428787231,0.6956521739130435,0.906832298136646
50,0.5936331748962402,0.9442036,1.1414255,0.8817793726921082,0.6956521739130435,0.9006211180124224
51,0.6006283745879218,0.96632063,1.193395,0.8803934454917908,0.6894409937888198,0.8695652173913043
52,0.601315860237394,0.9873832,1.251866,0.8761799931526184,0.6583850931677019,0.8695652173913043
53,0.6028947560560136,0.9542919,1.1323371,0.8700199127197266,0.6832298136645962,0.9006211180124224
54,0.5838248133659363,1.0269479,1.2903908,0.8658240437507629,0.6645962732919255,0.8695652173913043
55,0.5798206386112031,0.9930687,1.1843034,0.8649989366531372,0.6956521739130435,0.8757763975155279
56,0.6095540665444874,1.0051166,1.2090616,0.8639104962348938,0.6894409937888198,0.8695652173913043
57,0.6057750852335066,1.0151545,1.2367721,0.862554669380188,0.6832298136645962,0.8695652173913043
58,0.5904478515897479,0.9739997,1.1772182,0.8653069734573364,0.6956521739130435,0.8757763975155279
59,0.5901817693596795,0.98934484,1.2131757,0.86310875415802,0.6832298136645962,0.8695652173913043
60,0.5473517051764897,0.99115455,1.2163898,0.8622116446495056,0.6832298136645962,0.8695652173913043
61,0.5757052699724833,0.98888916,1.2129878,0.8622016906738281,0.6832298136645962,0.8695652173913043
